id,state,created_date,modified_date,deleted_date,nombre,genero,sinopsis,emision,fecha_salida,image,promedio_puntuaciones,categoria,color,cantidad_episodios,link_imdb,promedio_puntuaciones_imdb
1,1,2023-10-08,2024-07-07,2024-07-07,100-man no Inochi no Ue ni Ore wa Tatteiru,"1,9,12,13,38","Yusuke Yotsuya is transported to an alternative game-like world. He becomes a third player and sets out on a dangerous quest with his classmates Iu Shindo and Kusue Hakozaki, who were transported there before.",0,2020-10-01,portada/2022/01/11/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_MID.jpg,6.2,1,5,24,https://www.imdb.com/title/tt12706854/,6.4
2,1,2023-10-08,2024-07-07,2024-07-07,11 Eyes,"1,11,42,43","11 eyes follows the childhood friendship of Satsuki Kakeru and Minase Yuka, who grew up together living ordinary lives - until one unexpected day where they are both transported to a different world.",0,2009-10-01,portada/2022/01/11/11eyes_MID.jpg,4.9,1,8,12,https://www.imdb.com/title/tt1515976/,5.7
3,1,2023-10-08,2024-07-07,2024-07-07,7 Seeds,"1,2,9,26,35,37,45","In the immediate future, a giant meteorite has collided with earth. All living organisms, including mankind, have been wiped off the face of the planet.",0,2019-06-01,portada/2022/01/11/7_Seeds_MID.jpg,6.2,1,5,24,https://www.imdb.com/title/tt9348718,6.3
762,1,2023-10-23,2024-07-07,2024-07-07,AI no Idenshi,"9,30,35,44","A doctor who treats robot and humanoid problems takes place in the near future when humanoids with AI account for 10% of the population. Hikaru Sudô, also known as Moggadeet, secretly takes on illegal medical procedures.",0,2023-07-01,portada/2023/10/15/AI_no_Idenshi.jpeg,5.5,1,8,12,https://www.imdb.com/title/tt28038239/,6.0
4,1,2023-10-08,2024-07-07,2024-07-07,Aa! Megami-sama,"5,21,32,36,43","Morisato Keiichi has a happy daily life, albeit unusual, which is rather unsurprising when you consider his household is home for four goddesses - the sisters Belldandy, Urd and Skuld, and their friendly rival Peorth. Belldandy, Urd and Peorth are having tea together so that thei...",0,2005-01-01,portada/2022/01/11/Aa_megami-sama_MID.jpg,4.8,1,6,50,https://www.imdb.com/title/tt1158219/,7.5
5,1,2023-10-08,2024-07-07,2024-07-07,Abenobashi Maho Shotengai,"5,11,12,27","Two kids whose families own businesses in a shopping arcade that's scheduled to shut down are thrown into a series of dimensions, each one a parody of some form of anime or video game, and try to find their way home.",0,2002-04-01,portada/2022/01/11/Abenobashi_Maho_Shotengai_MID.jpg,5.4,1,8,13,https://www.imdb.com/title/tt0398412/,7.3
6,1,2023-10-08,2024-07-07,2024-07-07,Accel World,"1,13,32,34,35,38",Haruyuki is an overweight kid and at bottom of food chain at his middle school. Within sci-fi setting of real world he often seeks refuge in a virtual one.,0,2012-03-01,portada/2022/01/11/Accel_World_MID.jpg,8.0,1,5,26,https://www.imdb.com/title/tt2339875/,7.0
7,1,2023-10-08,2024-07-07,2024-07-07,Adachi to Shimamura,"20,32,34,37","Adachi and Shimamura become friends, but soon new feelings blossom. They travel the sea of emotions as they learn each other's feelings.",0,2020-10-01,portada/2022/01/11/Adachi_to_Shimamura_MID.jpg,6.5,1,8,12,https://www.imdb.com/title/tt12728882/,7.0
8,1,2023-10-08,2024-07-07,2024-07-07,Afro Samurai,"1,33",A Black samurai goes on a mission to avenge the wrongful death of his father in a futuristic feudal Japan.,0,2007-01-04,portada/2023/05/10/Afro_Samurai_MID.jpg,6.8,1,3,5,https://www.imdb.com/title/tt0465316/,7.6
9,1,2023-10-08,2024-07-07,2024-07-07,Agent Aika,"1,2,5,11,35","Aika Sumeragi, a salvager for hire who gets caught up in a plot for world domination. It is well known for its copious amounts of fan service, specifically the camera angles on panties of the many female characters that populate the show.",0,1997-03-01,portada/2022/01/11/Agent_Aika_MID.jpg,6.0,1,8,14,https://www.imdb.com/title/tt0270758/,5.9
10,1,2023-10-08,2024-07-07,2024-07-07,Aho Girl,"5,32,34",The adventures of an idiot girl and her long-suffering friends.,0,2017-06-01,portada/2022/01/11/Aho_Girl_MID.png,5.3,1,8,12,https://www.imdb.com/title/tt7136968/,6.6
11,1,2023-10-08,2024-07-07,2024-07-07,Air Gear,"1,5,11,12,35,38,41","A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed.",0,2006-04-01,portada/2022/01/11/Air_Gear_MID.jpg,6.7,1,5,25,https://www.imdb.com/title/tt0953916/,7.0
12,1,2023-10-08,2024-07-07,2024-07-07,Air Master,"1,5,22,36","""Maki Aikawa is tall, with a nice model-like figure, but is also quiet and looks like an ordinary high school girl. However, her unique life style includes being a street fighter within the dark alleyways and back streets of Tokyo. To date, she remains undefeated against both men...",0,2003-04-01,portada/2022/01/11/Air_Master_MID.jpg,5.4,1,5,27,https://www.imdb.com/title/tt0463281/,6.8
13,1,2023-10-08,2024-07-07,2024-07-07,Ajin,"2,26,36,43,45","A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers.",0,2016-01-01,portada/2022/01/11/Ajin_MID.jpg,6.8,1,5,26,https://www.imdb.com/title/tt5537534/,7.6
14,1,2023-10-08,2024-07-07,2024-07-07,Akagami no Shirayuki-hime,"9,12,17,32,37","Although her name means 'white as snow', Shirayuki is a cheerful red-haired girl who lives in the town of Tanbarun and works diligently as an apothecary in her herbal shop.",0,2015-07-01,portada/2022/01/11/Akagami_no_Shirayuki-hime_MID.jpg,5.8,1,5,24,https://www.imdb.com/title/tt4542568/,7.6
15,1,2023-10-08,2024-07-07,2024-07-07,Akame ga Kill!,"1,2,9,12,38",A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,0,2014-07-01,portada/2022/01/11/Akame_ga_Kill_MID.jpg,8.3,1,5,24,https://www.imdb.com/title/tt3742982/,7.8
16,1,2023-10-08,2024-07-07,2024-07-07,Akane-Iro ni Somaru Saka,"5,15,32,34","Juni'ichi Nagase is a high school sophomore who saves new student Yuuhi from harassment, only to find out that she is to be his future wife!",0,2008-10-01,portada/2022/01/11/Akane-Iro_ni_Somaru_Saka_MID.png,3.9,1,8,12,https://www.imdb.com/title/tt1258215/,5.7
